#index	Chr	DSB_coor	strand	Gene_Name	AA_loc	Assigned_pos	Assigned_Gene_Name	Assigned_AA_loc
361	chr15	27216718	-	GABRG3	13	chr15:27216717:+	GABRG3	11
362	chr5	170216148	-	GABRP	24	chr5:170216147:-	GABRP	22
365	chr6	90009551	-	GABRR2	74	chr6:90009550:-	GABRR2	50
366	chr18	74962583	-	GALR1	27	chr18:74962582:-	GALR1	25
370	chrX	48650297	-	GATA1	90	chrX:48650297:-	GATA1	88
372	chr10	8097642	+	GATA3	9	chr10:8097642:+	GATA3	8
377	chr6	39025267	-	GLP1R	66	chr6:39025266:-	GLP1R	64
379	chrX	14548191	-	GLRA2	5	chrX:14548190:-	GLRA2	3
381	chr4	158065087	-	GLRB	294	chr4:158065086:-	GLRB	292
383	chr20	57415229	+	GNAS	0	chr20:57415229:+	GNAS	22
387	chrX	133119452	-	GPC3	8	chrX:133119451:+	GPC3	8
388	chr7	1131631	-	GPER	90	chr7:1131630:-	GPER1	88
392	chr6	47650074	+	GPR111	526	chr6:47650074:+	GPR111	524
393	chrX	135405031	-	GPR112	56	chrX:135405030:-	GPR112	55
394	chr2	26569089	+	GPR113	0	chr2:26569089:+	GPR113	5
398	chr10	134910581	-	GPR123	0	chr10:134910580:-	GPR123	36
399	chr8	37655032	-	GPR124	83	chr8:37655031:-	GPR124	82
401	chr6	142688779	-	GPR126	60	chr6:142688779:-	GPR126	59
402	chr3	100352125	+	GPR128	118	chr3:100352125:+	GPR128	117
408	chr17	72363851	-	GPR142	70	chr17:72363851:+	GPR142	68
411	chr7	1097550	+	GPR146	134	chr7:1097550:+	GPR146	133
412	chr2	131486955	+	GPR148	78	chr2:131486955:+	GPR148	77
419	chr10	25464472	-	GPR158	42	chr10:25464472:-	GPR158	40
420	chr1	168105516	+	GPR161	0	chr1:168105516:+	GPR161	39
424	chrX	78426852	+	GPR174	117	chrX:78426852:+	GPR174	115
437	chr19	51273932	+	GPR32	26	chr19:51273932:+	GPR32	24
439	chr2	241570093	+	GPR35	273	chr2:241570093:+	GPR35	241
441	chr7	124404998	-	GPR37	11	chr7:124404998:+	GPR37	11
449	chr1	110085832	-	GPR61	63	chr1:110085831:+	GPR61	63
450	chr3	51990004	-	GPR62	113	chr3:51990003:-	GPR62	111
452	chrX	19025410	-	GPR64	544	chrX:19025410:+	GPR64	541
453	chr14	88477521	+	GPR65	111	chr14:88477521:+	GPR65	110
455	chr6	110300541	-	GPR6	76	chr6:110300540:-	GPR6	75
464	chr12	13061204	-	GPRC5A	8	chr12:13061204:-	GPRC5A	7
468	chr5	153026720	+	GRIA1	152	chr5:153026720:+	GRIA1	151
469	chr4	158142836	-	GRIA2	36	chr4:158142835:-	GRIA2	35
473	chr4	93225863	-	GRID2	19	chr4:93225862:+	GRID2	19
477	chr11	120531037	-	GRIK4	4	chr11:120531037:+	GRIK4	4
482	chr17	72848480	-	GRIN2C	223	chr17:72848480:+	GRIN2C	223
485	chr19	1000641	-	GRIN3B	69	chr19:1000640:-	GRIN3B	68
492	chr3	6903183	-	GRM7	0	chr3:6903182:-	GRM7	36
497	chr19	603775	+	HCN2	289	chr19:603775:+	HCN2	288
498	chr1	155252299	-	HCN3	126	chr1:155252298:-	HCN3	124
500	chr1	32084895	-	HCRTR1	35	chr1:32084895:+	HCRTR1	33
503	chr8	80679307	-	HEY1	62	chr8:80679307:+	HEY1	62
506	chr20	42984464	+	HNF4A	0	chr20:42984464:+	HNF4A	7
507	chr8	76470805	-	HNF4G	253	chr8:76470804:-	HNF4G	215
516	chr11	533496	-	HRAS	136	chr11:533496:+	HRAS	136
517	chr3	11300885	+	HRH1	55	chr3:11300885:+	HRH1	54
524	chr3	88040049	+	HTR1F	51	chr3:88040049:+	HTR1F	50
527	chrX	113965757	-	HTR2C	31	chrX:113965757:-	HTR2C	29
533	chr7	154862957	-	HTR5A	117	chr7:154862956:-	HTR5A	115
538	chr21	34697378	-	IFNAR1	7	chr21:34697377:-	IFNAR1	5
541	chr21	34787232	-	IFNGR2	38	chr21:34787232:-	IFNGR2	55
542	chr15	99250805	-	IGF1R	37	chr15:99250804:-	IGF1R	36
545	chr9	34656745	-	IL11RA	58	chr9:34656745:+	IL11RA	56
546	chrX	117880932	-	IL13RA1	82	chrX:117880931:-	IL13RA1	80
550	chr3	53890980	-	IL17RB	214	chr3:53890979:-	IL17RB	212
551	chr3	9962212	-	IL17RC	239	chr3:9962212:-	IL17RC	167
553	chr3	9948677	-	IL17RE	187	chr3:9948677:+	IL17RE	187
554	chr2	102992408	-	IL18R1	171	chr2:102992408:-	IL18R1	169
555	chr2	103040446	+	IL18RAP	83	chr2:103040446:+	IL18RAP	82
557	chr2	102626070	+	IL1R2	39	chr2:102626070:+	IL1R2	37
559	chr3	190322086	-	IL1RAP	79	chr3:190322087:+	IL1RAP	79
561	chr3	136701122	+	IL20RB	113	chr3:136701122:+	IL20RB	111
563	chr1	24465100	-	IL22RA1	49	chr1:24465099:+	IL22RA1	49
566	chr16	27353503	+	IL4R	45	chr16:27353503:+	IL4R	44
567	chr3	3133914	-	IL5RA	329	chr3:3133914:+	IL5RA	329
573	chr5	156649942	-	ITK	189	chr5:156649941:-	ITK	63
581	chr10	76603128	+	KAT6B	172	chr10:76603128:+	KAT6B	171
590	chr3	156009817	+	KCNAB1	0	chr3:156009817:+	KCNAB1	40
591	chr1	6111623	+	KCNAB2	10	chr1:6111623:+	KCNAB2	9
595	chr11	17757561	-	KCNC1	5	chr11:17757560:-	KCNC1	3
598	chrX	48826299	-	KCND1	127	chrX:48826299:+	KCND1	127
614	chr14	63453883	-	KCNH5	152	chr14:63453883:+	KCNH5	152
615	chr17	61601642	-	KCNH6	74	chr17:61601642:-	KCNH6	73
634	chr20	43374692	+	KCNK15	48	chr20:43374692:+	KCNK15	46
638	chr2	26915765	+	KCNK3	8	NA	NA	NA
642	chr8	140715148	-	KCNK9	29	chr8:140715147:+	KCNK9	29
646	chr12	70760532	-	KCNMB4	7	chr12:70760531:-	KCNMB4	5
648	chr5	113698515	-	KCNN2	15	chr5:113698514:-	KCNN2	13
651	chr11	2466584	-	KCNQ1	86	chr11:2466583:-	KCNQ1	84
660	chr8	36644847	+	KCNU1	74	chr8:36644847:+	KCNU1	73
662	chr9	2718144	-	KCNV2	136	chr9:2718143:-	KCNV2	135
669	chr4	55524232	-	KIT	18	chr4:55524231:-	KIT	17
672	chr11	118342398	+	MLL	175	chr11:118342398:+	KMT2A	174
673	chr7	151949082	+	MLL3	521	chr7:151949082:+	KMT2C	520
674	chr12	49448521	+	MLL2	63	chr12:49448521:+	KMT2D	63
676	chr17	37026454	-	LASP1	5	chr17:37026454:-	LASP1	3
691	chrX	78010810	+	LPAR4	149	chrX:78010810:+	LPAR4	147
697	chr3	188327098	-	LPP	194	chr3:188327098:-	LPP	192
701	chr12	6493763	-	LTBR	36	chr12:6493762:-	LTBR	34
709	chr6	160328071	+	MAS1	29	chr6:160328071:+	MAS1	27
711	chr16	89985861	+	MC1R	66	chr16:89985861:+	MC1R	64
713	chr20	54824370	+	MC3R	158	chr20:54824370:+	MC3R	157
715	chr22	41075546	-	MCHR1	33	chr22:41075546:+	MCHR1	33
717	chr12	69210615	-	MDM2	67	chr12:69210614:-	MDM2	59
719	chrX	70338634	+	MED12	11	chrX:70338634:+	MED12	9
721	chr2	112705101	-	MERTK	239	chr2:112705100:-	MERTK	238
727	chr3	37035059	+	MLH1	8	chr3:37035059:+	MLH1	7
731	chr6	168265348	+	MLLT4	75	NA	NA	NA
741	chr11	18195082	-	MRGPRX4	94	chr11:18195081:-	MRGPRX4	92
749	chr9	113449418	+	MUSK	77	chr9:113449418:+	MUSK	76
750	chr1	45799182	+	MUTYH	84	chr1:45799182:+	MUTYH	56
751	chr1	40366921	-	MYCL1	92	chr1:40366921:+	MYCL	91
752	chr2	16082246	-	MYCN	21	chr2:16082245:-	MYCN	19
753	chr8	128750557	+	MYC	32	chr8:128750557:+	MYC	17
754	chr3	38180290	-	MYD88	47	chr3:38180289:-	MYD88	46
759	chr2	24881561	-	NCOA1	6	chr2:24881560:-	NCOA1	5
762	chr17	29422363	-	NF1	13	chr17:29422362:-	NF1	11
763	chr22	30000056	+	NF2	24	chr22:30000056:+	NF2	22
780	chr10	47086940	+	PPYR1	53	chr10:47086940:+	NPY4R	53
788	chr3	119528926	+	NR1I2	112	chr3:119528926:+	NR1I2	111
791	chr3	15057709	+	NR2C2	128	chr3:15057709:+	NR2C2	108
798	chr12	52448282	-	NR4A1	70	chr12:52448282:+	NR4A1	70
805	chr1	156811912	+	NTRK1	0	chr1:156811912:+	NTRK1	17
806	chr9	87285835	-	NTRK2	58	chr9:87285834:-	NTRK2	56
809	chr2	11810093	-	NTSR2	54	chr2:11810092:+	NTSR2	54
813	chr15	34640211	-	GOLGA8A	0	chr15:34640210:-	NUTM1	19
815	chr7	128415558	-	OPN1SW	96	chr7:128415558:+	OPN1SW	96
817	chr10	88417837	-	OPN4	125	chr10:88417836:-	OPN4	113
844	chr6	29275333	+	OR14J1	290	chr6:29275333:+	OR14J1	289
847	chr16	3254267	-	OR1F1	8	chr16:3254266:-	OR1F1	7
849	chr9	125563190	-	OR1K1	264	chr9:125563189:-	OR1K1	263
850	chr19	9204406	-	OR1M1	163	chr19:9204405:-	OR1M1	161
852	chr7	143793001	+	OR2A12	268	chr7:143793001:+	OR2A12	267
865	chr6	29080351	+	OR2J3	229	chr6:29080351:+	OR2J3	227
872	chr11	48238457	-	OR4B1	33	chr11:48238457:-	OR4B1	32
875	chr11	123811007	+	OR4D5	229	chr11:123811007:+	OR4D5	227
878	chr14	20585638	-	OR4K17	25	chr14:20585637:-	OR4K17	24
881	chr14	20612566	+	OR4N5	225	chr14:20612566:+	OR4N5	224
886	chr11	5322683	-	OR51B4	165	chr11:5322682:+	OR51B4	165
888	chr11	5372947	-	OR51B6	71	chr11:5372946:-	OR51B6	69
889	chr11	4661506	+	OR51D1	163	chr11:4661506:+	OR51D1	161
896	chr11	4903288	+	OR51T1	81	chr11:4903288:+	OR51T1	80
909	chr11	5758163	-	OR56B1	140	chr11:5758163:-	OR56B1	138
910	chr11	59211355	-	OR5A1	239	chr11:59211354:-	OR5A1	238
914	chr9	125551379	+	OR5C1	57	chr9:125551379:+	OR5C1	55
925	chr11	57798592	+	OR6Q1	57	chr11:57798592:+	OR6Q1	55
932	chr11	55861260	+	OR8I2	160	chr11:55861260:+	OR8I2	159
934	chr11	56086193	+	OR8K3	138	chr11:56086193:+	OR8K3	137
935	chr12	48919480	+	OR8S1	23	chr12:48919480:+	OR8S1	21
936	chr7	141619608	+	OR9A4	312	chr7:141619608:+	OR9A4	311
938	chr11	57947723	+	OR9Q1	270	chr11:57947723:+	OR9Q1	268
943	chr12	133195476	-	P2RX2	25	chr12:133195475:+	P2RX2	25
945	chr12	121648025	-	P2RX4	20	chr12:121648024:-	P2RX4	19
947	chr22	21377304	-	P2RX6	180	chr22:21377304:-	P2RX6	179
955	chr11	72945390	-	P2RY2	63	chr11:72945389:-	P2RY2	61
957	chr11	72983413	+	P2RY6	0	NA	NA	NA
962	chr2	223163270	-	PAX3	22	chr2:223163269:+	PAX3	22
967	chr1	164761954	-	PBX1	164	chr1:164761955:+	PBX1	164
969	chr9	5534995	-	PDCD1LG2	103	chr9:5534994:-	PDCD1LG2	102
970	chr1	145075819	-	PDE4DIP	0	chr1:145075818:-	PDE4DIP	15
978	chr5	67522717	-	PIK3R1	72	chr5:67522716:-	PIK3R1	71
987	chr15	74287166	-	PML	5	chr15:74287165:-	PML	3
991	chr6	35389611	-	PPARD	101	chr6:35389610:-	PPARD	99
995	chr1	3102723	+	PRDM16	25	chr1:3102723:+	PRDM16	24
1003	chr9	98279041	-	PTCH1	0	chr9:98279040:-	PTCH1	20
1005	chr14	52734548	-	PTGDR	6	chr14:52734547:-	PTGDR	5
1009	chr5	40681106	-	PTGER4	4	chr5:40681105:+	PTGER4	4
1013	chr2	209271795	+	PTH2R	10	chr2:209271795:+	PTH2R	9
1014	chr6	43096813	-	PTK7	60	chr6:43096812:-	PTK7	59
1016	chr17	5253756	-	RABEP1	266	chr17:5253755:-	RABEP1	222
1017	chr7	6438322	+	RAC1	86	chr7:6438322:+	RAC1	84
1019	chr2	238785918	+	RAMP1	36	chr2:238785918:+	RAMP1	12
1022	chr5	170308866	-	RANBP17	75	chr5:170308865:-	RANBP17	73
1023	chr17	38510562	-	RARA	273	chr17:38510561:-	RARA	271
1024	chr3	25470360	+	RARB	47	chr3:25470360:+	RARB	46
1031	chr10	43595998	+	RET	56	chr10:43595998:+	RET	55
1038	chr1	64603127	-	ROR1	187	chr1:64603126:-	ROR1	186
1040	chr15	61521316	+	RORA	0	chr15:61521316:+	RORA	33
1041	chr9	77245221	-	RORB	11	chr9:77245220:-	RORB	9
1046	chr8	93026821	-	RUNX1T1	162	chr8:93026820:+	RUNX1T1	162
1047	chr21	36259395	+	RUNX1	0	chr21:36259395:+	RUNX1	5
1051	chr1	155911917	+	RXFP4	140	chr1:155911917:+	RXFP4	138
1058	chr1	101704615	+	S1PR1	26	chr1:101704615:+	S1PR1	24
1064	chr19	35521747	-	SCN1B	8	chr19:35521747:+	SCN1B	8
1069	chr17	62050142	-	SCN4A	20	chr17:62050142:+	SCN4A	20
1071	chr12	52056716	-	SCN8A	39	chr12:52056715:-	SCN8A	37
1072	chr2	167168082	-	SCN9A	62	chr2:167168082:+	SCN9A	62
1073	chr12	6472680	-	SCNN1A	263	chr12:6472679:+	SCNN1A	263
1074	chr16	23364269	-	SCNN1B	154	chr16:23364268:-	SCNN1B	197
1075	chr1	1216645	+	SCNN1D	16	chr1:1216645:+	SCNN1D	15
1079	chr11	61205530	-	SDHAF2	106	NA	NA	NA
1080	chr1	17380491	-	SDHB	8	chr1:17380491:+	SDHB	8
1084	chr3	10885908	-	SLC6A11	212	chr3:10885907:-	SLC6A11	210
1087	chrX	115569020	-	SLC6A14	38	chrX:115569020:+	SLC6A14	37
1091	chr5	1232386	-	SLC6A18	72	chr5:1232386:-	SLC6A18	71
1093	chr3	11059023	-	SLC6A1	43	chr3:11059023:+	SLC6A1	42
1098	chr11	20622923	+	SLC6A5	85	chr11:20622923:+	SLC6A5	83
1102	chr18	48575097	+	SMAD4	98	chr18:48575097:+	SMAD4	97
1103	chr19	11097013	-	SMARCA4	169	chr19:11097012:-	SMARCA4	167
1105	chr7	128829112	+	SMO	41	chr7:128829112:+	SMO	39
1106	chr16	12223504	+	SNX29	110	chr16:12223504:+	SNX29	494
1113	chr14	38678721	-	SSTR1	43	chr14:38678720:-	SSTR1	42
1117	chr16	1129177	+	SSTR5	104	chr16:1129177:+	SSTR5	102
1120	chr19	1207032	+	STK11	41	chr19:1207032:+	STK11	39
1122	chr17	30315392	+	SUZ12	360	chr17:30315392:+	SUZ12	335
1123	chr9	93606378	+	SYK	67	chr9:93606378:+	SYK	65
1139	chr7	141464852	+	TAS2R3	299	chr7:141464852:+	TAS2R3	297
1140	chr7	142919336	-	TAS2R40	56	chr7:142919336:-	TAS2R40	55
1141	chr7	143175832	-	TAS2R41	290	chr7:143175831:-	TAS2R41	289
1144	chr7	143140626	-	TAS2R60	28	chr7:143140627:+	TAS2R60	28
1149	chr9	27185533	+	TEK	412	chr9:27185533:+	TEK	410
1154	chr3	100463693	-	TFG	247	chr3:100463692:-	TFG	245
1156	chr9	101891280	-	TGFBR1	81	chr9:101891279:+	TGFBR1	11
1159	chr17	38240879	+	THRA	130	chr17:38240879:+	THRA	128
1161	chr1	43770670	-	TIE1	70	chr1:43770669:-	TIE1	68
1164	chr6	138192637	-	TNFAIP3	92	chr6:138192638:+	TNFAIP3	92
1172	chr16	12061501	-	TNFRSF17	118	chr16:12061500:-	TNFRSF17	68
1180	chr20	62328523	-	TNFRSF6B	135	chr20:62328524:+	TNFRSF6B	135
1181	chr1	12123697	-	TNFRSF8	15	chr1:12123696:-	TNFRSF8	13
1182	chr20	39729903	-	TOP1	407	chr20:39729902:-	TOP1	406
1184	chr19	16187457	+	TPM4	0	chr19:16187457:+	TPM4	27
1185	chr1	186344054	-	TPR	36	chr1:186344054:+	TPR	36
1187	chr7	138145630	-	TRIM24	113	chr7:138145629:-	TRIM24	111
1193	chrX	111195336	-	TRPC5	104	chrX:111195335:+	TRPC5	104
1195	chr15	31453149	+	TRPM1	0	chr15:31453149:+	TRPM1	5
1199	chr11	2443533	-	TRPM5	45	chr11:2443533:+	TRPM5	45
1200	chr9	77457242	-	TRPM6	57	chr9:77457241:+	TRPM6	57
1203	chr17	16321129	-	TRPV2	50	chr17:16321128:-	TRPV2	48
1209	chr16	2100433	+	TSC2	58	chr16:2100433:+	TSC2	57
1213	chr17	80332669	-	UTS2R	157	chr17:80332668:-	UTS2R	155
1214	chr12	48258868	+	VDR	130	chr12:48258868:+	VDR	80
1216	chr3	42567386	-	VIPR1	101	chr3:42567385:-	VIPR1	59
1219	chr10	114207145	-	VTI1A	5	chr10:114207145:+	VTI1A	5
1222	chr4	1902493	-	WHSC1	38	chr4:1902493:+	WHSC1	38
1229	chr11	113934469	-	ZBTB16	150	chr11:113934469:+	ZBTB16	148
1230	chr13	20660037	-	ZMYM2	1340	chr13:20660037:-	ZMYM2	1339
2475	chr15	90344754	-	ANPEP	551	chr15:90344754:+	ANPEP	551
2491	chr15	90346883	-	ANPEP	477	chr15:90346882:+	ANPEP	477
2500	chr15	90349525	-	ANPEP	97	chr15:90349525:+	ANPEP	97
2505	chr15	90342501	-	ANPEP	666	chr15:90342500:+	ANPEP	666
2541	chr15	90347125	-	ANPEP	429	chr15:90347124:+	ANPEP	429
2561	chr15	90347606	-	ANPEP	352	chr15:90347605:+	ANPEP	352
2574	chr15	90349420	-	ANPEP	132	chr15:90349420:+	ANPEP	132
2575	chr15	90349413	-	ANPEP	134	chr15:90349413:+	ANPEP	134
2579	chr15	90348624	-	ANPEP	228	chr15:90348624:+	ANPEP	228
2583	chr15	90344724	-	ANPEP	561	chr15:90344723:+	ANPEP	561
2592	chr15	90335758	-	ANPEP	762	chr15:90335758:+	ANPEP	762
2600	chr15	90335741	-	ANPEP	767	chr15:90335741:+	ANPEP	767
2608	chr15	90344772	-	ANPEP	545	chr15:90344771:+	ANPEP	545
2610	chr15	90349786	-	ANPEP	10	chr15:90349786:+	ANPEP	10
2627	chr15	90349527	-	ANPEP	96	chr15:90349527:+	ANPEP	96
2630	chr15	90349334	-	ANPEP	160	chr15:90349333:+	ANPEP	160
2640	chr15	90335546	-	ANPEP	791	chr15:90335546:+	ANPEP	791
2669	chr15	90346491	-	ANPEP	516	chr15:90346491:+	ANPEP	516
2675	chr15	90349526	-	ANPEP	96	chr15:90349526:+	ANPEP	96
2685	chr15	90349787	-	ANPEP	9	chr15:90349786:+	ANPEP	9
2691	chr15	90344771	-	ANPEP	546	chr15:90344771:+	ANPEP	546
2762	chr15	90349421	-	ANPEP	131	chr15:90349420:+	ANPEP	131
2794	chr15	90349304	-	ANPEP	170	chr15:90349303:+	ANPEP	170
2799	chr15	90349625	-	ANPEP	63	chr15:90349624:+	ANPEP	63
2809	chr15	90347727	-	ANPEP	340	chr15:90347726:+	ANPEP	340
2812	chr15	90340822	-	ANPEP	714	chr15:90340822:+	ANPEP	714
2833	chr15	90347817	-	ANPEP	310	chr15:90347817:+	ANPEP	310
2869	chr15	90344386	-	ANPEP	592	chr15:90344386:+	ANPEP	592
2873	chr15	90349475	-	ANPEP	113	chr15:90349474:+	ANPEP	113
2885	chr15	90349419	-	ANPEP	132	chr15:90349419:+	ANPEP	132
2889	chr15	90347167	-	ANPEP	415	chr15:90347166:+	ANPEP	415
2907	chr15	90347818	-	ANPEP	309	chr15:90347817:+	ANPEP	309
2918	chr15	90340934	-	ANPEP	676	chr15:90340934:+	ANPEP	676
2920	chr15	90349810	-	ANPEP	2	chr15:90349810:+	ANPEP	2
2929	chr11	94277893	+	FUT4	199	chr11:94277893:+	FUT4	197
2930	chr11	94278430	-	FUT4	378	chr11:94278429:-	FUT4	377
2931	chr11	94277875	+	FUT4	193	chr11:94277875:+	FUT4	191
2932	chr11	94278757	+	FUT4	487	chr11:94278757:+	FUT4	486
2933	chr11	94278043	-	FUT4	249	chr11:94278043:-	FUT4	247
2934	chr11	94278307	-	FUT4	337	chr11:94278307:-	FUT4	335
