#Unname 0	dataset	original symbol	original locus	cutting site	new symbol	new locus
5	chari2015Train293T	ACKR2	chr3:42906163-42906262:-	42906216	CCBP2	chr3:42905994-42907148:+
2509	doench2014-Hs	CD13	chr15:90340776-90340875:+	90340822	ANPEP	chr15:90328579-90349813:-
2510	doench2014-Hs	CD13	chr15:90348517-90348616:+	90348563	ANPEP	chr15:90328579-90349813:-
2511	doench2014-Hs	CD13	chr15:90346904-90347003:+	90346950	ANPEP	chr15:90328579-90349813:-
2512	doench2014-Hs	CD13	chr15:90344311-90344410:-	90344364	ANPEP	chr15:90328579-90349813:-
2513	doench2014-Hs	CD13	chr15:90340906-90341005:+	90340952	ANPEP	chr15:90328579-90349813:-
2514	doench2014-Hs	CD13	chr15:90347726-90347825:+	90347772	ANPEP	chr15:90328579-90349813:-
2515	doench2014-Hs	CD13	chr15:90349397-90349496:+	90349443	ANPEP	chr15:90328579-90349813:-
2516	doench2014-Hs	CD13	chr15:90346870-90346969:+	90346916	ANPEP	chr15:90328579-90349813:-
2517	doench2014-Hs	CD13	chr15:90349509-90349608:-	90349562	ANPEP	chr15:90328579-90349813:-
2518	doench2014-Hs	CD13	chr15:90349233-90349332:-	90349286	ANPEP	chr15:90328579-90349813:-
2519	doench2014-Hs	CD13	chr15:90340905-90341004:+	90340951	ANPEP	chr15:90328579-90349813:-
2520	doench2014-Hs	CD13	chr15:90336279-90336378:+	90336325	ANPEP	chr15:90328579-90349813:-
2521	doench2014-Hs	CD13	chr15:90349290-90349389:+	90349336	ANPEP	chr15:90328579-90349813:-
2522	doench2014-Hs	CD13	chr15:90348593-90348692:+	90348639	ANPEP	chr15:90328579-90349813:-
2523	doench2014-Hs	CD13	chr15:90349758-90349857:+	90349804	ANPEP	chr15:90328579-90349813:-
2524	doench2014-Hs	CD13	chr15:90342738-90342837:+	90342784	ANPEP	chr15:90328579-90349813:-
2525	doench2014-Hs	CD13	chr15:90348504-90348603:-	90348557	ANPEP	chr15:90328579-90349813:-
2526	doench2014-Hs	CD13	chr15:90349349-90349448:+	90349395	ANPEP	chr15:90328579-90349813:-
2527	doench2014-Hs	CD13	chr15:90342681-90342780:-	90342734	ANPEP	chr15:90328579-90349813:-
2528	doench2014-Hs	CD13	chr15:90347143-90347242:+	90347189	ANPEP	chr15:90328579-90349813:-
2529	doench2014-Hs	CD13	chr15:90346940-90347039:+	90346986	ANPEP	chr15:90328579-90349813:-
2530	doench2014-Hs	CD13	chr15:90347499-90347598:+	90347545	ANPEP	chr15:90328579-90349813:-
2531	doench2014-Hs	CD13	chr15:90335458-90335557:-	90335511	ANPEP	chr15:90328579-90349813:-
2532	doench2014-Hs	CD13	chr15:90335503-90335602:+	90335549	ANPEP	chr15:90328579-90349813:-
2533	doench2014-Hs	CD13	chr15:90349712-90349811:+	90349758	ANPEP	chr15:90328579-90349813:-
2534	doench2014-Hs	CD13	chr15:90349541-90349640:+	90349587	ANPEP	chr15:90328579-90349813:-
2535	doench2014-Hs	CD13	chr15:90344759-90344858:+	90344805	ANPEP	chr15:90328579-90349813:-
2536	doench2014-Hs	CD13	chr15:90347157-90347256:-	90347210	ANPEP	chr15:90328579-90349813:-
2537	doench2014-Hs	CD13	chr15:90347439-90347538:+	90347485	ANPEP	chr15:90328579-90349813:-
2538	doench2014-Hs	CD13	chr15:90336281-90336380:+	90336327	ANPEP	chr15:90328579-90349813:-
2539	doench2014-Hs	CD13	chr15:90348270-90348369:+	90348316	ANPEP	chr15:90328579-90349813:-
2540	doench2014-Hs	CD13	chr15:90342611-90342710:+	90342657	ANPEP	chr15:90328579-90349813:-
2541	doench2014-Hs	CD13	chr15:90347072-90347171:-	90347125	ANPEP	chr15:90328579-90349813:-
2542	doench2014-Hs	CD13	chr15:90349359-90349458:-	90349412	ANPEP	chr15:90328579-90349813:-
2543	doench2014-Hs	CD13	chr15:90347529-90347628:+	90347575	ANPEP	chr15:90328579-90349813:-
2544	doench2014-Hs	CD13	chr15:90344628-90344727:+	90344674	ANPEP	chr15:90328579-90349813:-
2545	doench2014-Hs	CD13	chr15:90346896-90346995:+	90346942	ANPEP	chr15:90328579-90349813:-
2546	doench2014-Hs	CD13	chr15:90347170-90347269:+	90347216	ANPEP	chr15:90328579-90349813:-
2547	doench2014-Hs	CD13	chr15:90347438-90347537:+	90347484	ANPEP	chr15:90328579-90349813:-
2548	doench2014-Hs	CD13	chr15:90349512-90349611:+	90349558	ANPEP	chr15:90328579-90349813:-
2549	doench2014-Hs	CD13	chr15:90346430-90346529:+	90346476	ANPEP	chr15:90328579-90349813:-
2550	doench2014-Hs	CD13	chr15:90349535-90349634:+	90349581	ANPEP	chr15:90328579-90349813:-
2551	doench2014-Hs	CD13	chr15:90342705-90342804:-	90342758	ANPEP	chr15:90328579-90349813:-
2552	doench2014-Hs	CD13	chr15:90344677-90344776:+	90344723	ANPEP	chr15:90328579-90349813:-
2553	doench2014-Hs	CD13	chr15:90346964-90347063:+	90347010	ANPEP	chr15:90328579-90349813:-
2554	doench2014-Hs	CD13	chr15:90349166-90349265:-	90349219	ANPEP	chr15:90328579-90349813:-
2555	doench2014-Hs	CD13	chr15:90349356-90349455:-	90349409	ANPEP	chr15:90328579-90349813:-
2556	doench2014-Hs	CD13	chr15:90347514-90347613:+	90347560	ANPEP	chr15:90328579-90349813:-
2557	doench2014-Hs	CD13	chr15:90349302-90349401:-	90349355	ANPEP	chr15:90328579-90349813:-
2558	doench2014-Hs	CD13	chr15:90348387-90348486:+	90348433	ANPEP	chr15:90328579-90349813:-
2559	doench2014-Hs	CD13	chr15:90346482-90346581:+	90346528	ANPEP	chr15:90328579-90349813:-
2560	doench2014-Hs	CD13	chr15:90346836-90346935:+	90346882	ANPEP	chr15:90328579-90349813:-
2561	doench2014-Hs	CD13	chr15:90347553-90347652:-	90347606	ANPEP	chr15:90328579-90349813:-
2562	doench2014-Hs	CD13	chr15:90348538-90348637:-	90348591	ANPEP	chr15:90328579-90349813:-
2563	doench2014-Hs	CD13	chr15:90349340-90349439:-	90349393	ANPEP	chr15:90328579-90349813:-
2564	doench2014-Hs	CD13	chr15:90349425-90349524:-	90349478	ANPEP	chr15:90328579-90349813:-
2565	doench2014-Hs	CD13	chr15:90349764-90349863:+	90349810	ANPEP	chr15:90328579-90349813:-
2566	doench2014-Hs	CD13	chr15:90346627-90346726:+	90346673	ANPEP	chr15:90328579-90349813:-
2567	doench2014-Hs	CD13	chr15:90349428-90349527:+	90349474	ANPEP	chr15:90328579-90349813:-
2568	doench2014-Hs	CD13	chr15:90346691-90346790:+	90346737	ANPEP	chr15:90328579-90349813:-
2569	doench2014-Hs	CD13	chr15:90349631-90349730:+	90349677	ANPEP	chr15:90328579-90349813:-
2570	doench2014-Hs	CD13	chr15:90344732-90344831:-	90344785	ANPEP	chr15:90328579-90349813:-
2571	doench2014-Hs	CD13	chr15:90342669-90342768:-	90342722	ANPEP	chr15:90328579-90349813:-
2572	doench2014-Hs	CD13	chr15:90349337-90349436:-	90349390	ANPEP	chr15:90328579-90349813:-
2573	doench2014-Hs	CD13	chr15:90340830-90340929:-	90340883	ANPEP	chr15:90328579-90349813:-
2574	doench2014-Hs	CD13	chr15:90349367-90349466:-	90349420	ANPEP	chr15:90328579-90349813:-
2575	doench2014-Hs	CD13	chr15:90349360-90349459:-	90349413	ANPEP	chr15:90328579-90349813:-
2576	doench2014-Hs	CD13	chr15:90336245-90336344:-	90336298	ANPEP	chr15:90328579-90349813:-
2577	doench2014-Hs	CD13	chr15:90340758-90340857:-	90340811	ANPEP	chr15:90328579-90349813:-
2578	doench2014-Hs	CD13	chr15:90349374-90349473:+	90349420	ANPEP	chr15:90328579-90349813:-
2579	doench2014-Hs	CD13	chr15:90348571-90348670:-	90348624	ANPEP	chr15:90328579-90349813:-
2580	doench2014-Hs	CD13	chr15:90347081-90347180:+	90347127	ANPEP	chr15:90328579-90349813:-
2581	doench2014-Hs	CD13	chr15:90347090-90347189:-	90347143	ANPEP	chr15:90328579-90349813:-
2582	doench2014-Hs	CD13	chr15:90336292-90336391:-	90336345	ANPEP	chr15:90328579-90349813:-
2583	doench2014-Hs	CD13	chr15:90344671-90344770:-	90344724	ANPEP	chr15:90328579-90349813:-
2584	doench2014-Hs	CD13	chr15:90349278-90349377:-	90349331	ANPEP	chr15:90328579-90349813:-
2585	doench2014-Hs	CD13	chr15:90344750-90344849:-	90344803	ANPEP	chr15:90328579-90349813:-
2586	doench2014-Hs	CD13	chr15:90349217-90349316:-	90349270	ANPEP	chr15:90328579-90349813:-
2587	doench2014-Hs	CD13	chr15:90347132-90347231:-	90347185	ANPEP	chr15:90328579-90349813:-
2588	doench2014-Hs	CD13	chr15:90344770-90344869:+	90344816	ANPEP	chr15:90328579-90349813:-
2589	doench2014-Hs	CD13	chr15:90340817-90340916:+	90340863	ANPEP	chr15:90328579-90349813:-
2590	doench2014-Hs	CD13	chr15:90349181-90349280:+	90349227	ANPEP	chr15:90328579-90349813:-
2591	doench2014-Hs	CD13	chr15:90349715-90349814:+	90349761	ANPEP	chr15:90328579-90349813:-
2592	doench2014-Hs	CD13	chr15:90335705-90335804:-	90335758	ANPEP	chr15:90328579-90349813:-
2593	doench2014-Hs	CD13	chr15:90348288-90348387:-	90348341	ANPEP	chr15:90328579-90349813:-
2594	doench2014-Hs	CD13	chr15:90349266-90349365:-	90349319	ANPEP	chr15:90328579-90349813:-
2595	doench2014-Hs	CD13	chr15:90349280-90349379:+	90349326	ANPEP	chr15:90328579-90349813:-
2596	doench2014-Hs	CD13	chr15:90344684-90344783:-	90344737	ANPEP	chr15:90328579-90349813:-
2597	doench2014-Hs	CD13	chr15:90347500-90347599:+	90347546	ANPEP	chr15:90328579-90349813:-
2598	doench2014-Hs	CD13	chr15:90349481-90349580:+	90349527	ANPEP	chr15:90328579-90349813:-
2599	doench2014-Hs	CD13	chr15:90344632-90344731:+	90344678	ANPEP	chr15:90328579-90349813:-
2600	doench2014-Hs	CD13	chr15:90335688-90335787:-	90335741	ANPEP	chr15:90328579-90349813:-
2601	doench2014-Hs	CD13	chr15:90344671-90344770:+	90344717	ANPEP	chr15:90328579-90349813:-
2602	doench2014-Hs	CD13	chr15:90347768-90347867:-	90347821	ANPEP	chr15:90328579-90349813:-
2603	doench2014-Hs	CD13	chr15:90349734-90349833:+	90349780	ANPEP	chr15:90328579-90349813:-
2604	doench2014-Hs	CD13	chr15:90346911-90347010:+	90346957	ANPEP	chr15:90328579-90349813:-
2605	doench2014-Hs	CD13	chr15:90346475-90346574:+	90346521	ANPEP	chr15:90328579-90349813:-
2606	doench2014-Hs	CD13	chr15:90349170-90349269:-	90349223	ANPEP	chr15:90328579-90349813:-
2607	doench2014-Hs	CD13	chr15:90344725-90344824:+	90344771	ANPEP	chr15:90328579-90349813:-
2608	doench2014-Hs	CD13	chr15:90344719-90344818:-	90344772	ANPEP	chr15:90328579-90349813:-
2609	doench2014-Hs	CD13	chr15:90346628-90346727:-	90346681	ANPEP	chr15:90328579-90349813:-
2610	doench2014-Hs	CD13	chr15:90349733-90349832:-	90349786	ANPEP	chr15:90328579-90349813:-
2611	doench2014-Hs	CD13	chr15:90347526-90347625:-	90347579	ANPEP	chr15:90328579-90349813:-
2612	doench2014-Hs	CD13	chr15:90346425-90346524:-	90346478	ANPEP	chr15:90328579-90349813:-
2613	doench2014-Hs	CD13	chr15:90347722-90347821:+	90347768	ANPEP	chr15:90328579-90349813:-
2614	doench2014-Hs	CD13	chr15:90349194-90349293:-	90349247	ANPEP	chr15:90328579-90349813:-
2615	doench2014-Hs	CD13	chr15:90349320-90349419:+	90349366	ANPEP	chr15:90328579-90349813:-
2616	doench2014-Hs	CD13	chr15:90344649-90344748:+	90344695	ANPEP	chr15:90328579-90349813:-
2617	doench2014-Hs	CD13	chr15:90346962-90347061:-	90347015	ANPEP	chr15:90328579-90349813:-
2618	doench2014-Hs	CD13	chr15:90342609-90342708:-	90342662	ANPEP	chr15:90328579-90349813:-
2619	doench2014-Hs	CD13	chr15:90349440-90349539:+	90349486	ANPEP	chr15:90328579-90349813:-
2620	doench2014-Hs	CD13	chr15:90349629-90349728:-	90349682	ANPEP	chr15:90328579-90349813:-
2621	doench2014-Hs	CD13	chr15:90344658-90344757:+	90344704	ANPEP	chr15:90328579-90349813:-
2622	doench2014-Hs	CD13	chr15:90344340-90344439:+	90344386	ANPEP	chr15:90328579-90349813:-
2623	doench2014-Hs	CD13	chr15:90347525-90347624:+	90347571	ANPEP	chr15:90328579-90349813:-
2624	doench2014-Hs	CD13	chr15:90349193-90349292:-	90349246	ANPEP	chr15:90328579-90349813:-
2625	doench2014-Hs	CD13	chr15:90347473-90347572:-	90347526	ANPEP	chr15:90328579-90349813:-
2626	doench2014-Hs	CD13	chr15:90344775-90344874:+	90344821	ANPEP	chr15:90328579-90349813:-
2627	doench2014-Hs	CD13	chr15:90349474-90349573:-	90349527	ANPEP	chr15:90328579-90349813:-
2628	doench2014-Hs	CD13	chr15:90347782-90347881:+	90347828	ANPEP	chr15:90328579-90349813:-
2629	doench2014-Hs	CD13	chr15:90335706-90335805:+	90335752	ANPEP	chr15:90328579-90349813:-
2630	doench2014-Hs	CD13	chr15:90349281-90349380:-	90349334	ANPEP	chr15:90328579-90349813:-
2631	doench2014-Hs	CD13	chr15:90346866-90346965:+	90346912	ANPEP	chr15:90328579-90349813:-
2632	doench2014-Hs	CD13	chr15:90346437-90346536:-	90346490	ANPEP	chr15:90328579-90349813:-
2633	doench2014-Hs	CD13	chr15:90349268-90349367:+	90349314	ANPEP	chr15:90328579-90349813:-
2634	doench2014-Hs	CD13	chr15:90335645-90335744:+	90335691	ANPEP	chr15:90328579-90349813:-
2635	doench2014-Hs	CD13	chr15:90349287-90349386:+	90349333	ANPEP	chr15:90328579-90349813:-
2636	doench2014-Hs	CD13	chr15:90342680-90342779:-	90342733	ANPEP	chr15:90328579-90349813:-
2637	doench2014-Hs	CD13	chr15:90344294-90344393:-	90344347	ANPEP	chr15:90328579-90349813:-
2638	doench2014-Hs	CD13	chr15:90349346-90349445:-	90349399	ANPEP	chr15:90328579-90349813:-
2639	doench2014-Hs	CD13	chr15:90346914-90347013:+	90346960	ANPEP	chr15:90328579-90349813:-
2640	doench2014-Hs	CD13	chr15:90335493-90335592:-	90335546	ANPEP	chr15:90328579-90349813:-
2641	doench2014-Hs	CD13	chr15:90348622-90348721:-	90348675	ANPEP	chr15:90328579-90349813:-
2642	doench2014-Hs	CD13	chr15:90349367-90349466:+	90349413	ANPEP	chr15:90328579-90349813:-
2643	doench2014-Hs	CD13	chr15:90349641-90349740:+	90349687	ANPEP	chr15:90328579-90349813:-
2644	doench2014-Hs	CD13	chr15:90349519-90349618:+	90349565	ANPEP	chr15:90328579-90349813:-
2645	doench2014-Hs	CD13	chr15:90346887-90346986:-	90346940	ANPEP	chr15:90328579-90349813:-
2646	doench2014-Hs	CD13	chr15:90344631-90344730:+	90344677	ANPEP	chr15:90328579-90349813:-
2647	doench2014-Hs	CD13	chr15:90349733-90349832:+	90349779	ANPEP	chr15:90328579-90349813:-
2648	doench2014-Hs	CD13	chr15:90349216-90349315:-	90349269	ANPEP	chr15:90328579-90349813:-
2649	doench2014-Hs	CD13	chr15:90342454-90342553:+	90342500	ANPEP	chr15:90328579-90349813:-
2650	doench2014-Hs	CD13	chr15:90335499-90335598:+	90335545	ANPEP	chr15:90328579-90349813:-
2651	doench2014-Hs	CD13	chr15:90340821-90340920:+	90340867	ANPEP	chr15:90328579-90349813:-
2652	doench2014-Hs	CD13	chr15:90349589-90349688:+	90349635	ANPEP	chr15:90328579-90349813:-
2653	doench2014-Hs	CD13	chr15:90348574-90348673:+	90348620	ANPEP	chr15:90328579-90349813:-
2654	doench2014-Hs	CD13	chr15:90335500-90335599:+	90335546	ANPEP	chr15:90328579-90349813:-
2655	doench2014-Hs	CD13	chr15:90349322-90349421:+	90349368	ANPEP	chr15:90328579-90349813:-
2656	doench2014-Hs	CD13	chr15:90346427-90346526:+	90346473	ANPEP	chr15:90328579-90349813:-
2657	doench2014-Hs	CD13	chr15:90347527-90347626:-	90347580	ANPEP	chr15:90328579-90349813:-
2658	doench2014-Hs	CD13	chr15:90349632-90349731:+	90349678	ANPEP	chr15:90328579-90349813:-
2659	doench2014-Hs	CD13	chr15:90344319-90344418:-	90344372	ANPEP	chr15:90328579-90349813:-
2660	doench2014-Hs	CD13	chr15:90335695-90335794:+	90335741	ANPEP	chr15:90328579-90349813:-
2661	doench2014-Hs	CD13	chr15:90348386-90348485:+	90348432	ANPEP	chr15:90328579-90349813:-
2662	doench2014-Hs	CD13	chr15:90349291-90349390:+	90349337	ANPEP	chr15:90328579-90349813:-
2663	doench2014-Hs	CD13	chr15:90344676-90344775:+	90344722	ANPEP	chr15:90328579-90349813:-
2664	doench2014-Hs	CD13	chr15:90347104-90347203:-	90347157	ANPEP	chr15:90328579-90349813:-
2665	doench2014-Hs	CD13	chr15:90347478-90347577:-	90347531	ANPEP	chr15:90328579-90349813:-
2666	doench2014-Hs	CD13	chr15:90349492-90349591:+	90349538	ANPEP	chr15:90328579-90349813:-
2667	doench2014-Hs	CD13	chr15:90349373-90349472:+	90349419	ANPEP	chr15:90328579-90349813:-
2668	doench2014-Hs	CD13	chr15:90346907-90347006:+	90346953	ANPEP	chr15:90328579-90349813:-
2669	doench2014-Hs	CD13	chr15:90346438-90346537:-	90346491	ANPEP	chr15:90328579-90349813:-
2670	doench2014-Hs	CD13	chr15:90349197-90349296:-	90349250	ANPEP	chr15:90328579-90349813:-
2671	doench2014-Hs	CD13	chr15:90342488-90342587:+	90342534	ANPEP	chr15:90328579-90349813:-
2672	doench2014-Hs	CD13	chr15:90342698-90342797:+	90342744	ANPEP	chr15:90328579-90349813:-
2673	doench2014-Hs	CD13	chr15:90340776-90340875:-	90340829	ANPEP	chr15:90328579-90349813:-
2674	doench2014-Hs	CD13	chr15:90335510-90335609:+	90335556	ANPEP	chr15:90328579-90349813:-
2675	doench2014-Hs	CD13	chr15:90349473-90349572:-	90349526	ANPEP	chr15:90328579-90349813:-
2676	doench2014-Hs	CD13	chr15:90348370-90348469:+	90348416	ANPEP	chr15:90328579-90349813:-
2677	doench2014-Hs	CD13	chr15:90344760-90344859:+	90344806	ANPEP	chr15:90328579-90349813:-
2678	doench2014-Hs	CD13	chr15:90349196-90349295:+	90349242	ANPEP	chr15:90328579-90349813:-
2679	doench2014-Hs	CD13	chr15:90347472-90347571:-	90347525	ANPEP	chr15:90328579-90349813:-
2680	doench2014-Hs	CD13	chr15:90349578-90349677:+	90349624	ANPEP	chr15:90328579-90349813:-
2681	doench2014-Hs	CD13	chr15:90349630-90349729:+	90349676	ANPEP	chr15:90328579-90349813:-
2682	doench2014-Hs	CD13	chr15:90336248-90336347:-	90336301	ANPEP	chr15:90328579-90349813:-
2683	doench2014-Hs	CD13	chr15:90349218-90349317:-	90349271	ANPEP	chr15:90328579-90349813:-
2684	doench2014-Hs	CD13	chr15:90344685-90344784:-	90344738	ANPEP	chr15:90328579-90349813:-
2685	doench2014-Hs	CD13	chr15:90349734-90349833:-	90349787	ANPEP	chr15:90328579-90349813:-
2686	doench2014-Hs	CD13	chr15:90348385-90348484:+	90348431	ANPEP	chr15:90328579-90349813:-
2687	doench2014-Hs	CD13	chr15:90346470-90346569:+	90346516	ANPEP	chr15:90328579-90349813:-
2688	doench2014-Hs	CD13	chr15:90348606-90348705:+	90348652	ANPEP	chr15:90328579-90349813:-
2689	doench2014-Hs	CD13	chr15:90349723-90349822:-	90349776	ANPEP	chr15:90328579-90349813:-
2690	doench2014-Hs	CD13	chr15:90348337-90348436:+	90348383	ANPEP	chr15:90328579-90349813:-
2691	doench2014-Hs	CD13	chr15:90344718-90344817:-	90344771	ANPEP	chr15:90328579-90349813:-
2692	doench2014-Hs	CD13	chr15:90349608-90349707:+	90349654	ANPEP	chr15:90328579-90349813:-
2693	doench2014-Hs	CD13	chr15:90347744-90347843:+	90347790	ANPEP	chr15:90328579-90349813:-
2694	doench2014-Hs	CD13	chr15:90344689-90344788:+	90344735	ANPEP	chr15:90328579-90349813:-
2695	doench2014-Hs	CD13	chr15:90347142-90347241:-	90347195	ANPEP	chr15:90328579-90349813:-
2696	doench2014-Hs	CD13	chr15:90344749-90344848:-	90344802	ANPEP	chr15:90328579-90349813:-
2697	doench2014-Hs	CD13	chr15:90349724-90349823:+	90349770	ANPEP	chr15:90328579-90349813:-
2698	doench2014-Hs	CD13	chr15:90349572-90349671:+	90349618	ANPEP	chr15:90328579-90349813:-
2699	doench2014-Hs	CD13	chr15:90349241-90349340:+	90349287	ANPEP	chr15:90328579-90349813:-
2700	doench2014-Hs	CD13	chr15:90347078-90347177:+	90347124	ANPEP	chr15:90328579-90349813:-
2701	doench2014-Hs	CD13	chr15:90348261-90348360:-	90348314	ANPEP	chr15:90328579-90349813:-
2702	doench2014-Hs	CD13	chr15:90347079-90347178:-	90347132	ANPEP	chr15:90328579-90349813:-
2703	doench2014-Hs	CD13	chr15:90346842-90346941:+	90346888	ANPEP	chr15:90328579-90349813:-
2704	doench2014-Hs	CD13	chr15:90336253-90336352:+	90336299	ANPEP	chr15:90328579-90349813:-
2705	doench2014-Hs	CD13	chr15:90349617-90349716:+	90349663	ANPEP	chr15:90328579-90349813:-
2706	doench2014-Hs	CD13	chr15:90349257-90349356:+	90349303	ANPEP	chr15:90328579-90349813:-
2707	doench2014-Hs	CD13	chr15:90349674-90349773:-	90349727	ANPEP	chr15:90328579-90349813:-
2708	doench2014-Hs	CD13	chr15:90344627-90344726:+	90344673	ANPEP	chr15:90328579-90349813:-
2709	doench2014-Hs	CD13	chr15:90349533-90349632:+	90349579	ANPEP	chr15:90328579-90349813:-
2710	doench2014-Hs	CD13	chr15:90342670-90342769:-	90342723	ANPEP	chr15:90328579-90349813:-
