#Index	dataset	original symbol	original locus	cutting site	new symbol	new locus
32229	EKO-NALM6_PMID29038160	LOC100288578	chr1:567456-567555:-	567506	NA	NA
32230	EKO-NALM6_PMID29038160	LOC100288578	chr1:567535-567634:-	567585	NA	NA
32231	EKO-NALM6_PMID29038160	LOC100288578	chr1:567571-567670:+	567620	NA	NA
32232	EKO-NALM6_PMID29038160	LOC100288578	chr1:567573-567672:-	567623	NA	NA
32233	EKO-NALM6_PMID29038160	LOC100288578	chr1:567633-567732:-	567683	NA	NA
32234	EKO-NALM6_PMID29038160	LOC100288578	chr1:567720-567819:-	567770	NA	NA
32235	EKO-NALM6_PMID29038160	LOC100288578	chr1:567834-567933:-	567884	NA	NA
32236	EKO-NALM6_PMID29038160	LOC100288578	chr1:567856-567955:-	567906	NA	NA
32237	EKO-NALM6_PMID29038160	LOC100288578	chr1:567883-567982:-	567933	NA	NA
32238	EKO-NALM6_PMID29038160	LOC100288578	chr1:567904-568003:-	567954	NA	NA
32239	EKO-NALM6_PMID29038160	LOC728054	chr1:662183-662282:-	662233	NA	NA
32240	EKO-NALM6_PMID29038160	LOC100133331	chr1:662283-662382:-	662333	NA	NA
32241	EKO-NALM6_PMID29038160	LOC100133331	chr1:662897-662996:+	662946	NA	NA
32242	EKO-NALM6_PMID29038160	LOC100133331	chr1:664677-664776:-	664727	NA	NA
32243	EKO-NALM6_PMID29038160	LOC100133331	chr1:664783-664882:+	664832	NA	NA
32244	EKO-NALM6_PMID29038160	LOC100133331	chr1:664801-664900:+	664850	NA	NA
32245	EKO-NALM6_PMID29038160	LOC100133331	chr1:665032-665131:-	665082	NA	NA
32246	EKO-NALM6_PMID29038160	LOC100133331	chr1:671922-672021:+	671971	NA	NA
32247	EKO-NALM6_PMID29038160	LOC100133161	chr1:675147-675246:+	675196	NA	NA
32248	EKO-NALM6_PMID29038160	LOC100133331	chr1:679645-679744:-	679695	NA	NA
32249	EKO-NALM6_PMID29038160	NCRNA00115	chr1:762040-762139:+	762089	NA	NA
32250	EKO-NALM6_PMID29038160	NCRNA00115	chr1:762059-762158:-	762109	NA	NA
32251	EKO-NALM6_PMID29038160	NCRNA00115	chr1:762150-762249:-	762200	NA	NA
32252	EKO-NALM6_PMID29038160	NCRNA00115	chr1:762219-762318:+	762268	NA	NA
32253	EKO-NALM6_PMID29038160	NCRNA00115	chr1:762222-762321:-	762272	NA	NA
32254	EKO-NALM6_PMID29038160	NCRNA00115	chr1:762252-762351:-	762302	NA	NA
32255	EKO-NALM6_PMID29038160	NCRNA00115	chr1:762421-762520:+	762470	NA	NA
32256	EKO-NALM6_PMID29038160	NCRNA00115	chr1:762437-762536:+	762486	NA	NA
32257	EKO-NALM6_PMID29038160	LOC643837	chr1:763068-763167:+	763117	NA	NA
32258	EKO-NALM6_PMID29038160	LOC643837	chr1:764347-764446:+	764396	NA	NA
32259	EKO-NALM6_PMID29038160	LOC643837	chr1:764358-764457:+	764407	NA	NA
32260	EKO-NALM6_PMID29038160	LOC643837	chr1:783024-783123:-	783074	NA	NA
32261	EKO-NALM6_PMID29038160	LOC643837	chr1:783024-783123:+	783073	NA	NA
32262	EKO-NALM6_PMID29038160	LOC643837	chr1:788013-788112:+	788062	NA	NA
32263	EKO-NALM6_PMID29038160	LOC643837	chr1:788014-788113:-	788064	NA	NA
32264	EKO-NALM6_PMID29038160	FAM41C	chr1:803999-804098:-	804049	NA	NA
32265	EKO-NALM6_PMID29038160	FAM41C	chr1:804870-804969:-	804920	NA	NA
32266	EKO-NALM6_PMID29038160	FAM41C	chr1:805421-805520:+	805470	NA	NA
32267	EKO-NALM6_PMID29038160	FAM41C	chr1:805447-805546:+	805496	NA	NA
32268	EKO-NALM6_PMID29038160	FAM41C	chr1:805507-805606:-	805557	NA	NA
32269	EKO-NALM6_PMID29038160	FAM41C	chr1:810353-810452:+	810402	NA	NA
32270	EKO-NALM6_PMID29038160	FAM41C	chr1:810360-810459:-	810410	NA	NA
32271	EKO-NALM6_PMID29038160	FAM41C	chr1:810404-810503:+	810453	NA	NA
32272	EKO-NALM6_PMID29038160	FAM41C	chr1:810424-810523:+	810473	NA	NA
32273	EKO-NALM6_PMID29038160	FAM41C	chr1:812156-812255:-	812206	NA	NA
32274	EKO-NALM6_PMID29038160	FLJ39609	chr1:852984-853083:-	853034	NA	NA
32275	EKO-NALM6_PMID29038160	FLJ39609	chr1:853394-853493:-	853444	NA	NA
32276	EKO-NALM6_PMID29038160	FLJ39609	chr1:853439-853538:+	853488	NA	NA
32277	EKO-NALM6_PMID29038160	FLJ39609	chr1:854164-854263:-	854214	NA	NA
32278	EKO-NALM6_PMID29038160	FLJ39609	chr1:854199-854298:+	854248	NA	NA
32279	EKO-NALM6_PMID29038160	FLJ39609	chr1:854212-854311:-	854262	NA	NA
32280	EKO-NALM6_PMID29038160	FLJ39609	chr1:854229-854328:-	854279	NA	NA
32281	EKO-NALM6_PMID29038160	FLJ39609	chr1:854670-854769:-	854720	NA	NA
32282	EKO-NALM6_PMID29038160	FLJ39609	chr1:854692-854791:-	854742	NA	NA
32283	EKO-NALM6_PMID29038160	FLJ39609	chr1:854731-854830:-	854781	NA	NA
32324	EKO-NALM6_PMID29038160	PERM1	chr1:915610-915709:+	915659	NA	NA
32325	EKO-NALM6_PMID29038160	PERM1	chr1:915674-915773:-	915724	NA	NA
32326	EKO-NALM6_PMID29038160	PERM1	chr1:915690-915789:-	915740	NA	NA
32327	EKO-NALM6_PMID29038160	PERM1	chr1:915736-915835:+	915785	NA	NA
32328	EKO-NALM6_PMID29038160	PERM1	chr1:915762-915861:+	915811	NA	NA
32329	EKO-NALM6_PMID29038160	PERM1	chr1:915792-915891:-	915842	NA	NA
32330	EKO-NALM6_PMID29038160	PERM1	chr1:915811-915910:-	915861	NA	NA
32331	EKO-NALM6_PMID29038160	PERM1	chr1:915862-915961:-	915912	NA	NA
32332	EKO-NALM6_PMID29038160	PERM1	chr1:915898-915997:+	915947	NA	NA
32333	EKO-NALM6_PMID29038160	PERM1	chr1:915946-916045:-	915996	NA	NA
32375	EKO-NALM6_PMID29038160	LOC401934	chr1:1009354-1009453:+	1009403	NA	NA
32376	EKO-NALM6_PMID29038160	LOC401934	chr1:1009374-1009473:-	1009424	NA	NA
32377	EKO-NALM6_PMID29038160	LOC401934	chr1:1009398-1009497:-	1009448	NA	NA
32378	EKO-NALM6_PMID29038160	LOC401934	chr1:1009432-1009531:-	1009482	NA	NA
32379	EKO-NALM6_PMID29038160	LOC401934	chr1:1009464-1009563:-	1009514	NA	NA
32585	EKO-NALM6_PMID29038160	TMEM88B	chr1:1361467-1361566:+	1361516	NA	NA
32586	EKO-NALM6_PMID29038160	TMEM88B	chr1:1361480-1361579:+	1361529	NA	NA
32587	EKO-NALM6_PMID29038160	TMEM88B	chr1:1361532-1361631:+	1361581	NA	NA
32588	EKO-NALM6_PMID29038160	TMEM88B	chr1:1361536-1361635:-	1361586	NA	NA
32589	EKO-NALM6_PMID29038160	TMEM88B	chr1:1361556-1361655:-	1361606	NA	NA
32590	EKO-NALM6_PMID29038160	TMEM88B	chr1:1361581-1361680:+	1361630	NA	NA
32591	EKO-NALM6_PMID29038160	TMEM88B	chr1:1361651-1361750:-	1361701	NA	NA
32592	EKO-NALM6_PMID29038160	TMEM88B	chr1:1361684-1361783:-	1361734	NA	NA
32593	EKO-NALM6_PMID29038160	TMEM88B	chr1:1361711-1361810:+	1361760	NA	NA
32594	EKO-NALM6_PMID29038160	TMEM88B	chr1:1361712-1361811:-	1361762	NA	NA
32655	EKO-NALM6_PMID29038160	ENSG00000215014	chr1:1510337-1510436:+	1510386	NA	NA
32656	EKO-NALM6_PMID29038160	ENSG00000215014	chr1:1510362-1510461:-	1510412	NA	NA
32657	EKO-NALM6_PMID29038160	ENSG00000215014	chr1:1510392-1510491:+	1510441	NA	NA
32658	EKO-NALM6_PMID29038160	ENSG00000215014	chr1:1510398-1510497:-	1510448	NA	NA
32659	EKO-NALM6_PMID29038160	ENSG00000215014	chr1:1510416-1510515:-	1510466	NA	NA
32660	EKO-NALM6_PMID29038160	ENSG00000215014	chr1:1510434-1510533:-	1510484	NA	NA
32661	EKO-NALM6_PMID29038160	ENSG00000215014	chr1:1510470-1510569:-	1510520	NA	NA
32662	EKO-NALM6_PMID29038160	ENSG00000215014	chr1:1510500-1510599:-	1510550	NA	NA
32663	EKO-NALM6_PMID29038160	ENSG00000215014	chr1:1510526-1510625:-	1510576	NA	NA
32664	EKO-NALM6_PMID29038160	ENSG00000215014	chr1:1510551-1510650:-	1510601	NA	NA
32693	EKO-NALM6_PMID29038160	CDK11B	chr1:1571999-1572098:-	1572049	NA	NA
32694	EKO-NALM6_PMID29038160	CDK11B	chr1:1572031-1572130:+	1572080	NA	NA
32695	EKO-NALM6_PMID29038160	CDK11B	chr1:1572104-1572203:-	1572154	NA	NA
32696	EKO-NALM6_PMID29038160	CDK11B	chr1:1572244-1572343:+	1572293	NA	NA
32697	EKO-NALM6_PMID29038160	CDK11B	chr1:1572248-1572347:-	1572298	NA	NA
32698	EKO-NALM6_PMID29038160	CDK11B	chr1:1572304-1572403:-	1572354	NA	NA
32699	EKO-NALM6_PMID29038160	CDK11B	chr1:1572483-1572582:-	1572533	NA	NA
32700	EKO-NALM6_PMID29038160	CDK11B	chr1:1572777-1572876:-	1572827	NA	NA
32701	EKO-NALM6_PMID29038160	CDK11B	chr1:1573131-1573230:-	1573181	NA	NA
32702	EKO-NALM6_PMID29038160	CDK11B	chr1:1575642-1575741:+	1575691	NA	NA
32713	EKO-NALM6_PMID29038160	LOC100288379	chr1:1604098-1604197:-	1604148	SLC35E2B	chr1:1597220-1608137:-
32714	EKO-NALM6_PMID29038160	LOC100288379	chr1:1604114-1604213:-	1604164	SLC35E2B	chr1:1597220-1608137:-
32715	EKO-NALM6_PMID29038160	LOC100288379	chr1:1604158-1604257:+	1604207	SLC35E2B	chr1:1597220-1608137:-
32716	EKO-NALM6_PMID29038160	LOC100288379	chr1:1604164-1604263:-	1604214	SLC35E2B	chr1:1597220-1608137:-
32717	EKO-NALM6_PMID29038160	LOC100288379	chr1:1604207-1604306:+	1604256	SLC35E2B	chr1:1597220-1608137:-
32718	EKO-NALM6_PMID29038160	LOC100288379	chr1:1604236-1604335:+	1604285	SLC35E2B	chr1:1597220-1608137:-
32719	EKO-NALM6_PMID29038160	LOC100288379	chr1:1604243-1604342:-	1604293	SLC35E2B	chr1:1597220-1608137:-
32720	EKO-NALM6_PMID29038160	LOC100288379	chr1:1604326-1604425:+	1604375	SLC35E2B	chr1:1597220-1608137:-
32721	EKO-NALM6_PMID29038160	LOC100288379	chr1:1604409-1604508:+	1604458	SLC35E2B	chr1:1597220-1608137:-
32722	EKO-NALM6_PMID29038160	LOC100288379	chr1:1604426-1604525:+	1604475	SLC35E2B	chr1:1597220-1608137:-
32743	EKO-NALM6_PMID29038160	LOC100129381	chr1:1656213-1656312:+	1656262	NA	NA
32744	EKO-NALM6_PMID29038160	LOC100129381	chr1:1656495-1656594:-	1656545	NA	NA
32745	EKO-NALM6_PMID29038160	LOC100129381	chr1:1661708-1661807:+	1661757	SLC35E2	chr1:1656852-1670995:-
32746	EKO-NALM6_PMID29038160	LOC100129381	chr1:1661722-1661821:-	1661772	SLC35E2	chr1:1656852-1670995:-
32747	EKO-NALM6_PMID29038160	LOC100129381	chr1:1661805-1661904:+	1661854	SLC35E2	chr1:1656852-1670995:-
32748	EKO-NALM6_PMID29038160	LOC100129381	chr1:1661820-1661919:+	1661869	SLC35E2	chr1:1656852-1670995:-
32755	EKO-NALM6_PMID29038160	LOC100129381	chr1:1668501-1668600:-	1668551	SLC35E2	chr1:1656852-1670995:-
32756	EKO-NALM6_PMID29038160	LOC100129381	chr1:1668563-1668662:+	1668612	SLC35E2	chr1:1656852-1670995:-
32757	EKO-NALM6_PMID29038160	LOC100129381	chr1:1668605-1668704:+	1668654	SLC35E2	chr1:1656852-1670995:-
32758	EKO-NALM6_PMID29038160	LOC100129381	chr1:1668634-1668733:-	1668684	SLC35E2	chr1:1656852-1670995:-
32798	EKO-NALM6_PMID29038160	CFAP74	chr1:1853738-1853837:-	1853788	NA	NA
32799	EKO-NALM6_PMID29038160	CFAP74	chr1:1854834-1854933:-	1854884	NA	NA
32800	EKO-NALM6_PMID29038160	CFAP74	chr1:1855184-1855283:-	1855234	NA	NA
32801	EKO-NALM6_PMID29038160	CFAP74	chr1:1855789-1855888:-	1855839	NA	NA
32802	EKO-NALM6_PMID29038160	CFAP74	chr1:1855844-1855943:-	1855894	NA	NA
32803	EKO-NALM6_PMID29038160	CFAP74	chr1:1857279-1857378:+	1857328	NA	NA
32804	EKO-NALM6_PMID29038160	CFAP74	chr1:1858065-1858164:+	1858114	NA	NA
32805	EKO-NALM6_PMID29038160	CFAP74	chr1:1858113-1858212:-	1858163	NA	NA
32806	EKO-NALM6_PMID29038160	CFAP74	chr1:1858310-1858409:-	1858360	NA	NA
32807	EKO-NALM6_PMID29038160	CFAP74	chr1:1858331-1858430:-	1858381	NA	NA
32808	EKO-NALM6_PMID29038160	CFAP74	chr1:1887131-1887230:-	1887181	KIAA1751	chr1:1876876-1912254:-
32809	EKO-NALM6_PMID29038160	CFAP74	chr1:1887149-1887248:-	1887199	KIAA1751	chr1:1876876-1912254:-
32810	EKO-NALM6_PMID29038160	CFAP74	chr1:1887191-1887290:+	1887240	KIAA1751	chr1:1876876-1912254:-
32811	EKO-NALM6_PMID29038160	CFAP74	chr1:1891358-1891457:-	1891408	KIAA1751	chr1:1876876-1912254:-
32812	EKO-NALM6_PMID29038160	CFAP74	chr1:1919935-1920034:-	1919985	NA	NA
32813	EKO-NALM6_PMID29038160	CFAP74	chr1:1919950-1920049:-	1920000	NA	NA
32814	EKO-NALM6_PMID29038160	CFAP74	chr1:1919983-1920082:-	1920033	NA	NA
32815	EKO-NALM6_PMID29038160	CFAP74	chr1:1920293-1920392:-	1920343	NA	NA
32816	EKO-NALM6_PMID29038160	CFAP74	chr1:1920309-1920408:-	1920359	NA	NA
32817	EKO-NALM6_PMID29038160	CFAP74	chr1:1922284-1922383:-	1922334	NA	NA
32837	EKO-NALM6_PMID29038160	ENSG00000269554	chr1:2121523-2121622:+	2121572	C1orf86	chr1:2121147-2126187:-
32838	EKO-NALM6_PMID29038160	ENSG00000269554	chr1:2121553-2121652:+	2121602	C1orf86	chr1:2121147-2126187:-
32839	EKO-NALM6_PMID29038160	ENSG00000269554	chr1:2121559-2121658:-	2121609	C1orf86	chr1:2121147-2126187:-
32840	EKO-NALM6_PMID29038160	ENSG00000269554	chr1:2121597-2121696:+	2121646	C1orf86	chr1:2121147-2126187:-
32841	EKO-NALM6_PMID29038160	ENSG00000269554	chr1:2121679-2121778:-	2121729	C1orf86	chr1:2121147-2126187:-
32842	EKO-NALM6_PMID29038160	ENSG00000269554	chr1:2121746-2121845:+	2121795	C1orf86	chr1:2121147-2126187:-
32843	EKO-NALM6_PMID29038160	ENSG00000269554	chr1:2121775-2121874:+	2121824	C1orf86	chr1:2121147-2126187:-
32844	EKO-NALM6_PMID29038160	ENSG00000269554	chr1:2121842-2121941:+	2121891	C1orf86	chr1:2121147-2126187:-
32845	EKO-NALM6_PMID29038160	ENSG00000269554	chr1:2121878-2121977:-	2121928	C1orf86	chr1:2121147-2126187:-
32846	EKO-NALM6_PMID29038160	ENSG00000269554	chr1:2121948-2122047:+	2121997	C1orf86	chr1:2121147-2126187:-
32867	EKO-NALM6_PMID29038160	ENSG00000269753	chr1:2258954-2259053:+	2259003	MORN1	chr1:2252821-2322971:-
32868	EKO-NALM6_PMID29038160	ENSG00000269753	chr1:2258955-2259054:+	2259004	MORN1	chr1:2252821-2322971:-
32869	EKO-NALM6_PMID29038160	ENSG00000269753	chr1:2258958-2259057:+	2259007	MORN1	chr1:2252821-2322971:-
32870	EKO-NALM6_PMID29038160	ENSG00000269753	chr1:2258966-2259065:+	2259015	MORN1	chr1:2252821-2322971:-
32871	EKO-NALM6_PMID29038160	ENSG00000269753	chr1:2258973-2259072:-	2259023	MORN1	chr1:2252821-2322971:-
32872	EKO-NALM6_PMID29038160	ENSG00000269753	chr1:2258975-2259074:+	2259024	MORN1	chr1:2252821-2322971:-
32873	EKO-NALM6_PMID29038160	ENSG00000269753	chr1:2258989-2259088:-	2259039	MORN1	chr1:2252821-2322971:-
32878	EKO-NALM6_PMID29038160	LOC100129534	chr1:2282751-2282850:+	2282800	MORN1	chr1:2252821-2322971:-
32879	EKO-NALM6_PMID29038160	LOC100129534	chr1:2282812-2282911:-	2282862	MORN1	chr1:2252821-2322971:-
32880	EKO-NALM6_PMID29038160	LOC100129534	chr1:2282846-2282945:+	2282895	MORN1	chr1:2252821-2322971:-
32881	EKO-NALM6_PMID29038160	LOC100129534	chr1:2282916-2283015:-	2282966	MORN1	chr1:2252821-2322971:-
32882	EKO-NALM6_PMID29038160	LOC100129534	chr1:2283022-2283121:-	2283072	MORN1	chr1:2252821-2322971:-
32883	EKO-NALM6_PMID29038160	LOC100129534	chr1:2283245-2283344:-	2283295	MORN1	chr1:2252821-2322971:-
32884	EKO-NALM6_PMID29038160	LOC100129534	chr1:2283265-2283364:-	2283315	MORN1	chr1:2252821-2322971:-
32885	EKO-NALM6_PMID29038160	LOC100129534	chr1:2283281-2283380:-	2283331	MORN1	chr1:2252821-2322971:-
32886	EKO-NALM6_PMID29038160	LOC100129534	chr1:2283323-2283422:-	2283373	MORN1	chr1:2252821-2322971:-
32887	EKO-NALM6_PMID29038160	LOC100129534	chr1:2283347-2283446:-	2283397	MORN1	chr1:2252821-2322971:-
32912	EKO-NALM6_PMID29038160	PLCH2	chr1:2411327-2411426:+	2411376	NA	NA
32913	EKO-NALM6_PMID29038160	PLCH2	chr1:2430203-2430302:+	2430252	NA	NA
32914	EKO-NALM6_PMID29038160	PLCH2	chr1:2430530-2430629:+	2430579	NA	NA
32915	EKO-NALM6_PMID29038160	PLCH2	chr1:2430586-2430685:+	2430635	NA	NA
32916	EKO-NALM6_PMID29038160	PLCH2	chr1:2431060-2431159:+	2431109	NA	NA
32917	EKO-NALM6_PMID29038160	PLCH2	chr1:2433511-2433610:+	2433560	NA	NA
32918	EKO-NALM6_PMID29038160	PLCH2	chr1:2433589-2433688:-	2433639	NA	NA
32919	EKO-NALM6_PMID29038160	PLCH2	chr1:2433662-2433761:+	2433711	NA	NA
32920	EKO-NALM6_PMID29038160	PLCH2	chr1:2433698-2433797:+	2433747	NA	NA
32921	EKO-NALM6_PMID29038160	PLCH2	chr1:2433771-2433870:+	2433820	NA	NA
33004	EKO-NALM6_PMID29038160	FLJ42875	chr1:2977191-2977290:+	2977240	NA	NA
33005	EKO-NALM6_PMID29038160	FLJ42875	chr1:2984507-2984606:-	2984557	NA	NA
33006	EKO-NALM6_PMID29038160	FLJ42875	chr1:2984542-2984641:-	2984592	NA	NA
33007	EKO-NALM6_PMID29038160	FLJ42875	chr1:2984844-2984943:-	2984894	NA	NA
33008	EKO-NALM6_PMID29038160	FLJ42875	chr1:2984865-2984964:-	2984915	NA	NA
33009	EKO-NALM6_PMID29038160	FLJ42875	chr1:2985015-2985114:+	2985064	NA	NA
33010	EKO-NALM6_PMID29038160	FLJ42875	chr1:2985159-2985258:+	2985208	NA	NA
33011	EKO-NALM6_PMID29038160	FLJ42875	chr1:2985228-2985327:-	2985278	NA	NA
33012	EKO-NALM6_PMID29038160	FLJ42875	chr1:2985301-2985400:-	2985351	NA	NA
33013	EKO-NALM6_PMID29038160	FLJ42875	chr1:2985365-2985464:+	2985414	NA	NA
33074	EKO-NALM6_PMID29038160	KIAA0495	chr1:3659323-3659422:-	3659373	NA	NA
33075	EKO-NALM6_PMID29038160	KIAA0495	chr1:3659373-3659472:-	3659423	NA	NA
33076	EKO-NALM6_PMID29038160	KIAA0495	chr1:3659424-3659523:+	3659473	NA	NA
33077	EKO-NALM6_PMID29038160	KIAA0495	chr1:3659646-3659745:+	3659695	NA	NA
33078	EKO-NALM6_PMID29038160	KIAA0495	chr1:3659689-3659788:+	3659738	NA	NA
33079	EKO-NALM6_PMID29038160	KIAA0495	chr1:3659697-3659796:-	3659747	NA	NA
33080	EKO-NALM6_PMID29038160	KIAA0495	chr1:3662126-3662225:-	3662176	NA	NA
33091	EKO-NALM6_PMID29038160	LOC388588	chr1:3689375-3689474:+	3689424	NA	NA
33092	EKO-NALM6_PMID29038160	LOC388588	chr1:3689392-3689491:+	3689441	NA	NA
33093	EKO-NALM6_PMID29038160	LOC388588	chr1:3689425-3689524:-	3689475	NA	NA
33094	EKO-NALM6_PMID29038160	LOC388588	chr1:3689470-3689569:-	3689520	NA	NA
33095	EKO-NALM6_PMID29038160	LOC388588	chr1:3689486-3689585:-	3689536	NA	NA
33096	EKO-NALM6_PMID29038160	LOC388588	chr1:3689510-3689609:-	3689560	NA	NA
33097	EKO-NALM6_PMID29038160	LOC388588	chr1:3689531-3689630:-	3689581	NA	NA
33098	EKO-NALM6_PMID29038160	LOC388588	chr1:3689616-3689715:+	3689665	NA	NA
33099	EKO-NALM6_PMID29038160	LOC388588	chr1:3689621-3689720:-	3689671	NA	NA
33100	EKO-NALM6_PMID29038160	LOC388588	chr1:3689691-3689790:+	3689740	NA	NA
33101	EKO-NALM6_PMID29038160	SMIM1	chr1:3691895-3691994:+	3691944	NA	NA
33102	EKO-NALM6_PMID29038160	SMIM1	chr1:3691900-3691999:-	3691950	NA	NA
33103	EKO-NALM6_PMID29038160	SMIM1	chr1:3691917-3692016:-	3691967	NA	NA
33104	EKO-NALM6_PMID29038160	SMIM1	chr1:3691941-3692040:+	3691990	NA	NA
33105	EKO-NALM6_PMID29038160	SMIM1	chr1:3691953-3692052:+	3692002	NA	NA
33106	EKO-NALM6_PMID29038160	SMIM1	chr1:3691976-3692075:+	3692025	NA	NA
33107	EKO-NALM6_PMID29038160	SMIM1	chr1:3691993-3692092:+	3692042	NA	NA
33108	EKO-NALM6_PMID29038160	SMIM1	chr1:3692316-3692415:+	3692365	NA	NA
33109	EKO-NALM6_PMID29038160	SMIM1	chr1:3692350-3692449:+	3692399	NA	NA
33110	EKO-NALM6_PMID29038160	SMIM1	chr1:3692377-3692476:-	3692427	NA	NA
33150	EKO-NALM6_PMID29038160	LOC100133612	chr1:3817099-3817198:+	3817148	NA	NA
33151	EKO-NALM6_PMID29038160	LOC100133612	chr1:3817122-3817221:+	3817171	NA	NA
33152	EKO-NALM6_PMID29038160	LOC100133612	chr1:3817144-3817243:+	3817193	NA	NA
33153	EKO-NALM6_PMID29038160	LOC100133612	chr1:3820483-3820582:+	3820532	NA	NA
33154	EKO-NALM6_PMID29038160	LOC100133612	chr1:3820489-3820588:-	3820539	NA	NA
33155	EKO-NALM6_PMID29038160	LOC100133612	chr1:3820513-3820612:-	3820563	NA	NA
33156	EKO-NALM6_PMID29038160	LOC100133612	chr1:3820546-3820645:+	3820595	NA	NA
33157	EKO-NALM6_PMID29038160	LOC100133612	chr1:3821756-3821855:-	3821806	NA	NA
33158	EKO-NALM6_PMID29038160	LOC100133612	chr1:3830914-3831013:+	3830963	NA	NA
33159	EKO-NALM6_PMID29038160	LOC100133612	chr1:3831003-3831102:-	3831053	NA	NA
33160	EKO-NALM6_PMID29038160	LOC728716	chr1:4000642-4000741:-	4000692	NA	NA
33161	EKO-NALM6_PMID29038160	LOC728716	chr1:4000673-4000772:+	4000722	NA	NA
33162	EKO-NALM6_PMID29038160	LOC728716	chr1:4000704-4000803:+	4000753	NA	NA
33163	EKO-NALM6_PMID29038160	LOC728716	chr1:4000706-4000805:-	4000756	NA	NA
33164	EKO-NALM6_PMID29038160	LOC728716	chr1:4001012-4001111:+	4001061	NA	NA
33165	EKO-NALM6_PMID29038160	LOC728716	chr1:4001045-4001144:-	4001095	NA	NA
33166	EKO-NALM6_PMID29038160	LOC728716	chr1:4001086-4001185:+	4001135	NA	NA
33167	EKO-NALM6_PMID29038160	LOC728716	chr1:4001098-4001197:-	4001148	NA	NA
33168	EKO-NALM6_PMID29038160	LOC728716	chr1:4001131-4001230:+	4001180	NA	NA
33169	EKO-NALM6_PMID29038160	LOC728716	chr1:4005202-4005301:+	4005251	NA	NA
33180	EKO-NALM6_PMID29038160	LOC100287877	chr1:5769023-5769122:-	5769073	NA	NA
33181	EKO-NALM6_PMID29038160	LOC100287877	chr1:5769053-5769152:+	5769102	NA	NA
33182	EKO-NALM6_PMID29038160	LOC100287877	chr1:5769068-5769167:-	5769118	NA	NA
